rate,f0,vowel,cents,engine,estimated_hz,confidence,cents_error
44100,660,ah,25,legacy,669.4533662514517,0.9999350911560022,-0.378955305055894
44100,660,ah,25,synchronous,669.6706444216799,0.9999069746527142,0.18284385128952213
44100,660,ah,25,spectral,669.6705260104768,0.9999076014183186,0.18253773435503548
44100,660,ah,100,legacy,698.8251894321439,0.9999267024001164,-1.0412953145301191
44100,660,ah,100,synchronous,699.3327225467284,0.9999758335697707,0.21558509942465623
44100,660,ah,100,spectral,699.3330038388854,0.9999763072323575,0.21628145245711888
44100,660,ah,700,legacy,984.6788175819809,0.9993145321377401,-7.375361520080732
44100,660,ah,700,synchronous,989.0000649068135,0.9983595743035415,0.2055094346412446
44100,660,ah,700,spectral,988.9997600025577,0.9983538929634077,0.2049757029164342
44100,660,ah,1200,legacy,1311.4007333525383,0.9970138408420364,-11.315187401859596
44100,660,ah,1200,synchronous,1320.3217849650603,0.9970189690661816,0.42198272492426214
44100,660,ah,1200,spectral,1320.3207020644218,0.9970750822020936,0.4205628019574709
44100,660,ee,-1200,legacy,330.75068448976464,0.9924682709009556,3.933741238406802
44100,660,ee,-1200,synchronous,330.0020829086947,0.9980289747342668,0.010927245676355009
44100,660,ee,-1200,spectral,330.00428991342227,0.9988915064873549,0.02250544215480328
44100,660,ee,-700,legacy,441.00256943641506,0.998208069424081,1.9852443832294542
44100,660,ee,-700,synchronous,440.52200104947275,0.9997970395405434,0.09765902337778305
44100,660,ee,-700,spectral,440.5204542706261,0.9998403230422146,0.09158023298664
44100,660,ee,-100,legacy,623.0671967221159,0.999455883699403,0.3060872078470935
44100,660,ee,-100,synchronous,622.999420622571,0.9994754699223317,0.11775652034204512
44100,660,ee,-100,spectral,622.9994819056928,0.9993880200063061,0.11792681812813435
44100,660,ee,25,legacy,669.6235331368691,0.9997770456979493,0.06104736809699605
44100,660,ee,25,synchronous,669.6622184598102,0.9997362524729757,0.16106089876206942
44100,660,ee,25,spectral,669.6624834049019,0.9997560733279026,0.16174584388899432
44100,660,ee,100,legacy,699.2580442139664,0.9998968849280415,0.030705182295823537
44100,660,ee,100,synchronous,699.3373143092982,0.9999337840401402,0.22695220602830557
44100,660,ee,100,spectral,699.3370878660863,0.9999390863729208,0.22639163782456634
44100,660,ee,700,legacy,988.2759185162507,0.9953062964243842,-1.0625653858813404
44100,660,ee,700,synchronous,988.9774474886249,0.9949837693234871,0.16591743298675474
44100,660,ee,700,spectral,988.9924757603703,0.9979508684746872,0.192224663889385
44100,660,ee,1200,legacy,1319.025819593282,0.9886725591664849,-1.2781491974263528
44100,660,ee,1200,synchronous,1320.362469636295,0.9918929351434583,0.4753285105853549
44100,660,ee,1200,spectral,1320.3280232284437,0.996915009790285,0.4301624494323667
44100,660,oo,-1200,legacy,334.54774311906624,0.9978602161743078,23.695304736855327
44100,660,oo,-1200,synchronous,330.0050613612666,0.9993423588359198,0.02655252655614409
44100,660,oo,-1200,spectral,330.0053142425853,0.999831334602184,0.027879162516932218
44100,660,oo,-700,legacy,443.5044147136014,0.9990753334094058,11.778929131605878
