rate,f0,vowel,cents,engine,pitch_error_cents,inharmonic_db,envelope_rmse_db,formant_fit_residual_db,rms_gain_db,rms_modulation_db,peak,dc,max_step,F1_hz,F1_error_hz,F1_error_percent,F2_hz,F2_error_hz,F2_error_percent,F3_hz,F3_error_hz,F3_error_percent
48000,90,ah,-700,synchronous,0.0017190780850633994,-52.949464480032454,1.935872073650764,1.9341140996375863,-0.2769885625097383,2.629491664513222,0.19462823867797852,-6.276956035031213e-05,0.0209805965423584,730.0,0.0,0.0,1090.0,0.0,0.0,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-700,spectral,0.0009714336923282474,-48.686389821915796,9.634608697547913,7.247184620747569,-0.24093687200530386,2.5241376947345264,0.1610938310623169,8.172161049313016e-06,0.017181396484375,697.0,-33.0,-4.520547945205477,993.0,-97.0,-8.899082568807337,1857.0,-583.0,-23.893442622950822
48000,90,ah,700,legacy,62.818884503420364,-2.556608094048415,15.6163685883574,6.531068808924576,-1.8528364228465033,4.080237497501581,0.15987491607666016,1.6875026954544915e-06,0.025679469108581543,1159.0,429.0,58.76712328767124,1526.0,436.0,39.99999999999999,3536.0,1096.0,44.91803278688524
48000,90,ah,700,synchronous,0.0026407750888865524,-52.6100805122439,1.6981569793522875,1.6916866605859793,-0.5073511062502235,1.3983476071857548,0.13502895832061768,9.593148198392656e-06,0.014314651489257812,727.0,-3.0,-0.4109589041095929,1087.0,-3.0,-0.27522935779816793,2434.0,-6.0,-0.24590163934425924
48000,90,ah,700,spectral,0.0023889612016492253,-48.60088473282299,6.817668589759155,5.377573283813938,-3.5127922535938536,1.4556927211341164,0.160003662109375,6.5272632572386e-06,0.017181396484375,748.9999999999999,18.999999999999886,2.602739726027381,1126.0,36.0,3.3027522935779707,3559.0,1119.0,45.860655737704924
48000,90,ah,-1200,legacy,-203.89969009101375,-2.518438977187207,19.54762148459042,12.41729993675255,-1.852743026919661,11.355577953390794,0.15868234634399414,-1.517724659707811e-07,0.008523106575012207,391.9999999999999,-338.0000000000001,-46.30136986301372,788.0,-302.0,-27.70642201834862,4154.0,1714.0,70.24590163934425
48000,90,ah,-1200,synchronous,-0.005508208810233095,-52.869659293347596,2.3066265995617856,2.3043747958738505,-0.2953622658165682,5.5897162094249255,0.2244112491607666,-1.253560185432434e-07,0.024226069450378418,731.0,1.0,0.136986301369868,1090.0,0.0,0.0,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-1200,spectral,-0.003515576798180148,-48.556742735607884,14.926085406583983,11.926782177285556,-3.427660717620511,3.1315781188573015,0.160003662109375,-5.16047908200158e-07,0.017181396484375,561.0,-169.0,-23.15068493150685,933.0,-157.0,-14.40366972477064,1335.0,-1105.0,-45.286885245901644
48000,90,ah,1200,legacy,93.60152241732185,-0.5591133281241957,33.65461704972183,26.949561157550605,-1.8465375106832735,0.22862482417288843,0.15948307514190674,-1.8030405044555664e-08,0.03428232669830322,964.9999999999999,234.9999999999999,32.1917808219178,1829.0,739.0,67.79816513761467,3636.0,1196.0,49.01639344262294
48000,90,ah,1200,synchronous,-0.0004174321536830417,-52.76769922058691,1.6643328648192355,1.660945797685517,1.2307978752105588,0.6987692903647298,0.13548052310943604,-1.9118189811706543e-07,0.014331936836242676,728.0,-2.0,-0.2739726027397249,1086.0,-4.0,-0.3669724770642202,2434.0,-6.0,-0.24590163934425924
48000,90,ah,1200,spectral,-0.0007218528680541274,-46.589445465177874,12.149800380479974,7.219094498492442,-5.549981283066725,1.2762010884985864,0.160003662109375,3.8359728124406604e-07,0.017181396484375,788.9999999999999,58.999999999999886,8.082191780821901,1542.0,452.0,41.46788990825687,4154.0,1714.0,70.24590163934425
48000,90,ee,0,legacy,-0.004211476219378739,-53.35270989405957,0.3174164098411348,0.31741640984113395,0.0,1.2256926453297723,0.160003662109375,-4.00543212890625e-07,0.00823974609375,270.0,0.0,0.0,2290.0,0.0,0.0,3010.0,0.0,0.0
48000,90,ee,0,synchronous,-0.004211476219378739,-53.35270989405957,0.3174164098411348,0.31741640984113395,0.0,1.2256926453297723,0.160003662109375,-4.00543212890625e-07,0.00823974609375,270.0,0.0,0.0,2290.0,0.0,0.0,3010.0,0.0,0.0
48000,90,ee,0,spectral,-0.004211476219378739,-53.35270989405957,0.3174164098411348,0.31741640984113395,0.0,1.2256926453297723,0.160003662109375,-4.00543212890625e-07,0.00823974609375,270.0,0.0,0.0,2290.0,0.0,0.0,3010.0,0.0,0.0
48000,90,ee,-0.1,legacy,-0.0043619001856649835,-53.360862716381796,0.30913109172251035,0.3091310917225105,-0.0009282202224292571,1.2007639101575023,0.15998005867004395,3.888954718907674e-07,0.008235573768615723,270.0,0.0,0.0,2290.0,0.0,0.0,3010.0,0.0,0.0
48000,90,ee,-0.1,synchronous,-0.0042816064624062134,-53.34685426455621,0.30886729903536614,0.308867299035367,-0.0012381946776362691,1.5974644756335978,0.15998625755310059,2.286392781469557e-06,0.008239269256591797,270.0,0.0,0.0,2290.0,0.0,0.0,3010.0,0.0,0.0
48000,90,ee,-0.1,spectral,-0.004311355073813851,-53.35110320494846,0.31623320606952815,0.31560247301313854,-0.003129854615180911,1.2037272709272298,0.16181671619415283,-5.018421345286899e-07,0.00826108455657959,270.0,0.0,0.0,2290.0,0.0,0.0,3007.0,-3.0,-0.09966777408637606
48000,90,ee,0.1,legacy,-0.004036129166164634,-53.36729680936595,0.3053892055978737,0.3053892055978749,-0.0013788171033013142,1.2941376378498273,0.15997040271759033,-1.5827723675303988e-06,0.008236527442932129,270.0,0.0,0.0,2290.0,0.0,0.0,3010.0,0.0,0.0
